"","continent","location","total_cases","total_deaths","total_deaths_per_million","total_tests_per_thousand","total_vaccinations_per_hundred","icu_patients_per_million","population","population_density","median_age","gdp_per_capita","extreme_poverty","female_smokers","male_smokers","life_expectancy"
"136","Europe","Albania",3188,83,28.89,9.387,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"137","Europe","Albania",3278,85,29.586,9.533,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"138","Europe","Albania",3371,89,30.979,9.679,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"139","Europe","Albania",3454,93,32.371,9.825,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"140","Europe","Albania",3571,95,33.067,10.029,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"141","Europe","Albania",3667,97,33.763,10.186,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"142","Europe","Albania",3752,101,35.156,10.312,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"143","Europe","Albania",3851,104,36.2,10.46,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"144","Europe","Albania",3906,107,37.244,10.61,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"145","Europe","Albania",4008,111,38.636,10.784,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"146","Europe","Albania",4090,112,38.985,10.899,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"147","Europe","Albania",4171,113,39.333,10.992,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"148","Europe","Albania",4290,117,40.725,11.16,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"149","Europe","Albania",4358,120,41.769,11.333,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"150","Europe","Albania",4466,123,42.813,11.499,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"151","Europe","Albania",4570,128,44.554,11.695,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"152","Europe","Albania",4637,134,46.642,11.801,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"153","Europe","Albania",4763,138,48.035,11.976,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"154","Europe","Albania",4880,144,50.123,12.15,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"155","Europe","Albania",4997,148,51.515,12.327,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"156","Europe","Albania",5105,150,52.211,12.502,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"157","Europe","Albania",5197,154,53.604,12.678,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"158","Europe","Albania",5276,157,54.648,12.852,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"159","Europe","Albania",5396,161,56.04,13.03,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"160","Europe","Albania",5519,166,57.781,13.195,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"161","Europe","Albania",5620,172,59.869,13.36,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"162","Europe","Albania",5750,176,61.261,13.55,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"163","Europe","Albania",5889,182,63.35,13.745,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"164","Europe","Albania",6016,188,65.438,13.93,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"165","Europe","Albania",6151,189,65.786,14.134,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"166","Europe","Albania",6275,193,67.179,14.308,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"167","Europe","Albania",6411,199,69.267,14.503,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"168","Europe","Albania",6536,200,69.615,14.679,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"169","Europe","Albania",6676,205,71.356,14.889,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"170","Europe","Albania",6817,208,72.4,15.107,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"171","Europe","Albania",6971,213,74.14,15.33,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"172","Europe","Albania",7117,219,76.229,15.553,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"173","Europe","Albania",7260,225,78.317,15.779,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"174","Europe","Albania",7380,228,79.361,15.997,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"175","Europe","Albania",7499,230,80.058,16.171,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"176","Europe","Albania",7654,232,80.754,16.496,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"177","Europe","Albania",7812,234,81.45,16.796,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"178","Europe","Albania",7967,238,82.842,17.091,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"179","Europe","Albania",8119,240,83.538,17.392,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"180","Europe","Albania",8275,245,85.279,17.683,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"181","Europe","Albania",8427,250,87.019,17.957,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"182","Europe","Albania",8605,254,88.411,18.286,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"183","Europe","Albania",8759,259,90.152,18.589,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"184","Europe","Albania",8927,263,91.544,18.895,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"185","Europe","Albania",9083,266,92.588,19.196,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"186","Europe","Albania",9195,271,94.329,19.475,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"187","Europe","Albania",9279,275,95.721,19.752,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"188","Europe","Albania",9380,280,97.461,20.031,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"189","Europe","Albania",9513,284,98.854,20.317,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"190","Europe","Albania",9606,290,100.942,20.599,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"191","Europe","Albania",9728,296,103.031,20.897,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"192","Europe","Albania",9844,301,104.771,21.188,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"193","Europe","Albania",9967,306,106.511,21.486,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"194","Europe","Albania",10102,312,108.6,21.785,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"195","Europe","Albania",10255,316,109.992,22.08,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"196","Europe","Albania",10406,319,111.036,22.367,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"197","Europe","Albania",10553,321,111.732,22.656,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"198","Europe","Albania",10704,322,112.081,22.952,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"199","Europe","Albania",10860,324,112.777,23.255,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"200","Europe","Albania",11021,327,113.821,23.56,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"201","Europe","Albania",11185,330,114.865,23.863,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"202","Europe","Albania",11353,334,116.257,24.169,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"203","Europe","Albania",11520,338,117.65,24.469,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"204","Europe","Albania",11672,340,118.346,24.751,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"205","Europe","Albania",11816,343,119.39,25.037,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"206","Europe","Albania",11948,347,120.782,25.322,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"207","Europe","Albania",12073,353,122.871,25.612,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"208","Europe","Albania",12226,358,124.611,25.903,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"209","Europe","Albania",12385,362,126.004,26.197,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"210","Europe","Albania",12535,364,126.7,26.478,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"211","Europe","Albania",12666,367,127.744,26.765,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"212","Europe","Albania",12787,370,128.788,27.074,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"213","Europe","Albania",12921,370,128.788,27.371,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"214","Europe","Albania",13045,373,129.832,27.652,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"215","Europe","Albania",13153,375,130.529,27.934,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"216","Europe","Albania",13259,377,131.225,28.224,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"217","Europe","Albania",13391,380,132.269,28.511,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"218","Europe","Albania",13518,384,133.661,28.796,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"219","Europe","Albania",13649,387,134.705,29.089,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"220","Europe","Albania",13806,388,135.054,29.442,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"221","Europe","Albania",13965,389,135.402,29.819,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"222","Europe","Albania",14117,392,136.446,30.17,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"223","Europe","Albania",14266,396,137.838,30.505,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"224","Europe","Albania",14410,400,139.23,30.823,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
"225","Europe","Albania",14568,403,140.275,31.138,NA,NA,2872934,104.871,38,11803.431,1.1,7.1,51.2,78.57
