"","continent","location","total_cases","total_deaths","total_deaths_per_million","total_tests_per_thousand","total_vaccinations_per_hundred","icu_patients_per_million","population","population_density","median_age","gdp_per_capita","extreme_poverty","female_smokers","male_smokers","life_expectancy"
"9155","Asia","Iraq",1074930,15536,377.276,228.467,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9156","Asia","Iraq",1079998,15566,378.005,229.385,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9157","Asia","Iraq",1086141,15608,379.025,230.322,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9158","Asia","Iraq",1091954,15640,379.802,231.296,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9159","Asia","Iraq",1098187,15673,380.603,232.292,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9160","Asia","Iraq",1103950,15702,381.308,233.286,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9161","Asia","Iraq",1108558,15741,382.255,234.082,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9162","Asia","Iraq",1112725,15771,382.983,234.904,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9163","Asia","Iraq",1117627,15800,383.687,235.738,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9164","Asia","Iraq",1122914,15834,384.513,236.66,1.1,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9165","Asia","Iraq",1127580,15855,385.023,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9166","Asia","Iraq",1132092,15883,385.703,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9167","Asia","Iraq",1134859,15910,386.359,238.97,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9168","Asia","Iraq",1136917,15930,386.844,239.336,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9169","Asia","Iraq",1139373,15954,387.427,239.753,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9170","Asia","Iraq",1142925,15995,388.423,240.35,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9171","Asia","Iraq",1146948,16029,389.248,241.137,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9172","Asia","Iraq",1151557,16069,390.22,242.125,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9173","Asia","Iraq",1156137,16102,391.021,243.182,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9174","Asia","Iraq",1160494,16137,391.871,244.2,1.26,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9175","Asia","Iraq",1164149,16158,392.381,NA,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
"9176","Asia","Iraq",1167940,16190,393.158,245.788,NA,NA,41179351,88.125,20,15663.986,2.5,NA,NA,70.6
